t x1 x2 x3 u1
0.0 0.01 0.0 0.0 1.0
0.01 0.00995 -0.009999999999999998 9.966729166666665e-07 1.0
0.02 0.009800000000000001 -0.019999999999999997 1.9734958333333327e-06 1.0
0.03 0.009550000000000001 -0.029999999999999995 2.91121875e-06 1.0
0.04 0.009200000000000002 -0.039999999999999994 3.7917916666666665e-06 1.0
0.05 0.008750000000000003 -0.04999999999999999 4.598964583333333e-06 1.0
0.06 0.008200000000000002 -0.059999999999999984 5.3188875e-06 1.0
0.07 0.007550000000000003 -0.06999999999999998 5.940710416666667e-06 1.0
0.08 0.006800000000000003 -0.07999999999999997 6.457183333333333e-06 1.0
0.09 0.005950000000000004 -0.08999999999999997 6.8652562500000005e-06 1.0
0.1 0.0050000000000000044 -0.09999999999999996 7.166679166666668e-06 -0.0
0.11 0.004050000000000005 -0.08999999999999997 7.371435416666668e-06 -0.0
0.12 0.0032000000000000054 -0.07999999999999997 7.502841666666669e-06 -0.0
0.13 0.0024500000000000056 -0.06999999999999998 7.582647916666668e-06 -0.0
0.14 0.0018000000000000058 -0.059999999999999984 7.627804166666668e-06 -0.0
0.15 0.0012500000000000059 -0.04999999999999999 7.651060416666668e-06 -0.0
0.16 0.000800000000000006 -0.039999999999999994 7.661566666666668e-06 1.0
0.17 0.000350000000000006 -0.04999999999999999 7.665139583333334e-06 -0.0
0.18 -9.999999999999389e-05 -0.039999999999999994 7.665445833333334e-06 -0.0
0.19 -0.0004499999999999938 -0.029999999999999995 7.666352083333334e-06 -0.0
0.2 -0.0006999999999999938 -0.019999999999999997 7.669808333333334e-06 1.0
0.21 -0.0009499999999999939 -0.029999999999999995 7.67653125e-06 -0.0
0.22 -0.001199999999999994 -0.019999999999999997 7.688320833333333e-06 1.0
0.23 -0.001449999999999994 -0.029999999999999995 7.705710416666666e-06 -0.0
0.24 -0.0016999999999999943 -0.019999999999999997 7.730833333333332e-06 -0.0
0.25 -0.0018499999999999944 -0.009999999999999998 7.762656249999998e-06 -0.0
0.26 -0.0018999999999999946 0.0 7.798129166666665e-06 1.0
0.27 -0.0019499999999999945 -0.009999999999999998 7.834868749999998e-06 -0.0
0.28 -0.0019999999999999944 0.0 7.874208333333332e-06 -0.0
0.29 -0.0019499999999999945 0.009999999999999998 7.913547916666665e-06 1.0
0.3 -0.0018999999999999944 0.0 7.950287499999998e-06 1.0
0.31 -0.0019499999999999943 -0.009999999999999998 7.987027083333331e-06 -0.0
0.32 -0.0019999999999999944 0.0 8.026366666666665e-06 -0.0
0.33 -0.0019499999999999945 0.009999999999999998 8.065706249999998e-06 1.0
0.34 -0.0018999999999999944 0.0 8.102445833333331e-06 -0.0
