t x1 x2 x3 u1
0.0 0.010000000000000009 0.0 0.0 1.0
0.01 0.009950000000000014 -0.009999999999999998 9.966729166666682e-07 -0.0
0.02 0.00990000000000002 0.0 1.980079166666671e-06 1.0
0.03 0.009850000000000025 -0.009999999999999998 2.956885416666675e-06 1.0
0.04 0.009700000000000014 -0.019999999999999997 3.9140416666666804e-06 1.0
0.05 0.009450000000000014 -0.029999999999999995 4.832497916666683e-06 -0.0
0.06 0.009200000000000014 -0.019999999999999997 5.700554166666685e-06 1.0
0.07 0.008950000000000014 -0.029999999999999995 6.525677083333354e-06 1.0
0.08 0.008600000000000024 -0.039999999999999994 7.297250000000023e-06 1.0
0.09 0.008150000000000018 -0.04999999999999999 8.000222916666694e-06 -0.0
0.1 0.007700000000000012 -0.039999999999999994 8.627129166666697e-06 1.0
0.11 0.0072500000000000064 -0.04999999999999999 9.187302083333366e-06 1.0
0.12 0.0067000000000000115 -0.059999999999999984 9.675225000000034e-06 -0.0
0.13 0.0061500000000000166 -0.04999999999999999 1.0087214583333368e-05 1.0
0.14 0.005600000000000022 -0.059999999999999984 1.0433604166666704e-05 -0.0
0.15 0.005050000000000027 -0.04999999999999999 1.0716527083333373e-05 1.0
0.16 0.004500000000000032 -0.059999999999999984 1.0945583333333376e-05 -0.0
0.17 0.003950000000000037 -0.04999999999999999 1.112363958333338e-05 1.0
0.18 0.003400000000000042 -0.059999999999999984 1.1259562500000048e-05 1.0
0.19 0.00275000000000003 -0.06999999999999998 1.1354985416666718e-05 -0.0
0.2 0.0021000000000000185 -0.059999999999999984 1.141374166666672e-05 -0.0
0.21 0.0015500000000000236 -0.04999999999999999 1.144699791666672e-05 -0.0
0.22 0.0011000000000000176 -0.039999999999999994 1.146450416666672e-05 -0.0
0.23 0.0007500000000000284 -0.029999999999999995 1.147301041666672e-05 -0.0
0.24 0.0005000000000000282 -0.019999999999999997 1.1476866666666721e-05 -0.0
0.25 0.00035000000000001696 -0.009999999999999998 1.1478622916666722e-05 -0.0
0.26 0.00030000000000002247 0.0 1.1479629166666723e-05 1.0
0.27 0.000250000000000028 -0.009999999999999998 1.1480435416666723e-05 1.0
0.28 0.00010000000000001674 -0.019999999999999997 1.1480791666666723e-05 -0.0
0.29 -4.999999999999449e-05 -0.009999999999999998 1.148081458333339e-05 -0.0
0.3 -9.999999999998899e-05 0.0 1.1480887500000057e-05 -0.0
0.31 -4.999999999999449e-05 0.009999999999999998 1.1480960416666724e-05 -0.0
0.32 0.00010000000000001674 0.019999999999999997 1.1480983333333392e-05 -0.0
0.33 0.00035000000000001696 0.029999999999999995 1.1481506250000058e-05 1.0
0.34 0.0006000000000000172 0.019999999999999997 1.1483895833333392e-05 1.0
0.35000000000000003 0.0007500000000000284 0.009999999999999998 1.1488585416666726e-05 1.0
0.36 0.0008000000000000229 0.0 1.149472500000006e-05 1.0
0.37 0.0007500000000000284 -0.009999999999999998 1.1500864583333393e-05 1.0
0.38 0.0006000000000000172 -0.019999999999999997 1.1505554166666727e-05 -0.0
0.39 0.00045000000000000595 -0.009999999999999998 1.150824375000006e-05 1.0
0.4 0.0002999999999999947 -0.019999999999999997 1.1509733333333394e-05 -0.0
0.41000000000000003 0.00014999999999998348 -0.009999999999999998 1.1510222916666727e-05 1.0
0.42 0.0 -0.019999999999999997 1.151031250000006e-05 -0.0
0.43 -0.00015000000000001124 -0.009999999999999998 1.1510402083333395e-05 1.0
0.44 -0.00030000000000002247 -0.019999999999999997 1.1510891666666728e-05 -0.0
0.45 -0.0004500000000000337 -0.009999999999999998 1.1512381250000061e-05 1.0
0.46 -0.0006000000000000449 -0.019999999999999997 1.1515070833333394e-05 -0.0
0.47000000000000003 -0.0007500000000000562 -0.009999999999999998 1.1519760416666728e-05 -0.0
0.48 -0.0008000000000000507 0.0 1.1525900000000062e-05 1.0
0.49 -0.0008500000000000452 -0.009999999999999998 1.153257291666673e-05 -0.0
0.5 -0.0009000000000000397 0.0 1.154037916666673e-05 -0.0
0.51 -0.0008500000000000452 0.009999999999999998 1.1548185416666731e-05 1.0
0.52 -0.0008000000000000507 0.0 1.15548583333334e-05 1.0
0.53 -0.0008500000000000452 -0.009999999999999998 1.1561531250000068e-05 1.0
0.54 -0.0010000000000000564 -0.019999999999999997 1.1569954166666735e-05 -0.0
0.55 -0.0011500000000000676 -0.009999999999999998 1.1581710416666735e-05 1.0
0.56 -0.0013000000000000789 -0.019999999999999997 1.1596533333333404e-05 1.0
